Title,Year,Age,Rotten Tomatoes
The Irishman,2019,18,98
Dangal,2016,7,97
David Attenborough: A Life on Our Planet,2020,7,95
Lagaan: Once Upon a Time in India,2001,7,94
Roma,2018,18,94
To All the Boys I've Loved Before,2018,13,94
The Social Dilemma,2020,13,93
Okja,2017,13,92
The Ballad of Buster Scruggs,2018,16,92
The Trial of the Chicago 7,2020,18,92
Article 15,2019,18,92
Dolemite Is My Name,2019,18,92
Mudbound,2017,18,91
Swades,2004,0,91
Fyre,2019,18,91
Miss Americana,2020,18,90
Virunga,2014,16,90
Black Friday,2004,18,90
Talvar,2015,7,90
The King,2019,18,90
John Mulaney: Kid Gorgeous at Radio City,2018,18,89
I Am Mother,2019,13,89
Tell Me Who I Am,2019,18,89
The Departed,2006,18,89
Winter on Fire: Ukraine's Fight for Freedom,2015,16,89
Terminator 2: Judgment Day,1991,18,89
I Lost My Body,2019,18,89
Django Unchained,2012,18,89
The Half of It,2020,13,89
The Boy Who Harnessed the Wind,2019,7,89
The Devil All the Time,2020,18,89
The Fundamentals of Caring,2016,18,89
Pieces of a Woman,2020,18,88
Gerald's Game,2017,18,88
